JobTitle,BasePay,OvertimePay,OtherPay,Benefits,TotalPay,TotalPayBenefits
animal control officer,2199892.05,108085.9,78666.95,743558.49,2386644.9,3130203.39
animal control supervisor,71990.7,1418.16,15257.95,31816.13,88666.81,120482.94
animal health technician,183326.73,7757.7,8921.67,48070.5,200006.1,248076.6
animal keeper,965244.33,52940.02,343.05,332471.36,1018527.4,1350998.76
apprentice cement mason i,175752.12,3193.63,0.0,59594.76,178945.75,238540.51
apprentice gardener,2153992.18,57931.77,32490.94,670050.41,2244414.89,2914465.3
apprentice stationary engineer,2417437.29,169611.32,151485.01,779394.19,2738533.62,3517927.81
"apprentice stationary engineer, sewage plant",811996.31,31017.06,81396.36,0.0,924409.73,924409.73
"apprentice stationary engineer,water treatment pln",301408.88,25425.86,27332.1,0.0,354166.84,354166.84
"aprntc statnry eng, sew plant",2345428.41,94605.09,201050.51,1040046.68,2641084.01,3681130.69
"aprntcstatnry eng,wtrtreatplnt",750026.34,50248.6,55231.15,318510.81,855506.09,1174016.9
aquatics facility asst supv,1166781.07,3610.69,22701.98,569497.99,1193093.74,1762591.73
aquatics facility supervisor,1636476.14,5362.46,24503.15,689536.27,1666341.75,2355878.02
arborist technician,4824651.53,203815.13,58282.7,1907762.09,5086749.36,6994511.45
arborist technician supervisor,1915421.57,115165.25,52500.07,736130.86,2083086.89,2819217.75
arborist technician supv ii,273469.68,0.0,1274.01,103038.32,274743.69,377782.01
architect,6123369.2,0.0,54754.04,1511876.08,6178123.24,7689999.32
architectural administrator,1602712.68,967.27,20135.85,410709.42,1623815.8,2034525.22
architectural assistant  i,128974.26,3516.73,0.0,0.0,132490.99,132490.99
architectural assistant 1,2025029.92,30278.82,2916.2,865928.72,2058224.94,2924153.66
architectural assistant 2,3377273.69,30003.97,23941.99,1276366.21,3431219.65,4707585.86
architectural assistant ii,1077025.53,6147.58,1240.04,0.0,1084413.15,1084413.15
architectural associate  i,1041510.89,247.12,4209.72,0.0,1045967.73,1045967.73
architectural associate 1,3612642.64,3384.31,17941.66,1277682.14,3633968.61,4911650.75
architectural associate 2,5942668.53,1438.26,14910.61,2026088.42,5959017.4,7985105.82
architectural associate ii,1963555.56,0.0,23095.96,0.0,1986651.52,1986651.52
"area sprv parks, squares & fac",275377.24,0.0,6197.87,130512.15,281575.11,412087.26
"area supervisor, parks, squares and facilities",83498.84,0.0,4743.48,0.0,88242.32,88242.32
arts program assistant,1835010.27,0.0,18995.71,549132.59,1854005.98,2403138.57
asphalt finisher,2368421.76,116684.1,179331.23,863426.22,2664437.09,3527863.31
asphalt finisher supervisor 1,1890768.51,143552.78,135295.27,759008.69,2169616.56,2928625.25
asphalt finisher supervisor i,506155.36,41653.16,44595.1,0.0,592403.62,592403.62
asphalt plant supervisor 1,287410.3,9356.2,3200.63,106691.57,299967.13,406658.7
asphalt plant supervisor i,85956.61,10311.35,4135.93,0.0,100403.89,100403.89
asphalt worker,3686236.47,163409.31,198891.69,1211808.38,4048537.47,5260345.85
asr senior office specialist,3633094.81,24659.31,153407.67,1596292.45,3811161.79,5407454.24
asr-office assistant,1691392.35,758.61,9820.62,789274.26,1701971.58,2491245.84
assessment clerk,2084564.89,2093.21,16974.6,458684.65,2103632.7,2562317.35
assessor,677539.52,0.0,0.0,176343.57,677539.52,853883.09
assessor-recorder office spec,1854098.16,5272.83,16206.15,854335.68,1875577.14,2729912.82
assistant chief attorney 1,12789980.51,0.0,238187.03,3532343.12,13028167.54,16560510.66
assistant chief attorney 2,3557387.99,0.0,31104.35,1004225.9,3588492.34,4592718.24
assistant chief attorney i,4005807.48,0.0,3273.62,0.0,4009081.1,4009081.1
assistant chief attorney ii,882562.63,0.0,52762.5,0.0,935325.13,935325.13
assistant chief district attorney's investigator,440611.07,3898.05,27348.52,0.0,471857.64,471857.64
"assistant chief of department, (fire department)",394863.14,122054.71,93365.7,0.0,610283.55,610283.55
assistant chief victim/witness investigator,435586.05,0.0,2080.0,0.0,437666.05,437666.05
"assistant clerk, board of supervisors",364239.34,3162.73,0.0,0.0,367402.07,367402.07
assistant const inspector,3278053.35,267379.73,11678.93,1251443.5,3557112.01,4808555.51
assistant construction inspector,466803.4,26235.97,1199.26,0.0,494238.63,494238.63
assistant cook,553378.3,61712.43,7543.06,187032.38,622633.79,809666.17
assistant counselor,755640.21,114509.41,89501.02,256105.08,959650.64,1215755.72
assistant court reporter coordinator,91068.16,0.0,35503.55,0.0,126571.71,126571.71
assistant deputy chief 2,1997129.7,38874.12,902538.97,556987.75,2938542.79,3495530.54
assistant deputy chief ii,744474.63,22386.25,376761.65,0.0,1143622.53,1143622.53
"assistant deputy director, port",264485.0,0.0,0.0,0.0,264485.0,264485.0
assistant director of clinical services i,108888.03,0.0,0.0,0.0,108888.03,108888.03
assistant director of clinical services ii,132471.24,0.0,0.0,0.0,132471.24,132471.24
"assistant director, juvenile hall",20717.65,0.0,0.0,0.0,20717.65,20717.65
"assistant director, log cabin ranch",80235.74,0.0,1354.18,0.0,81589.92,81589.92
"assistant director, probate",152499.77,0.0,6163.48,62853.57,158663.25,221516.82
assistant electronic maintenance technician,703956.13,149734.81,55590.35,0.0,909281.29,909281.29
assistant engineer,12114504.32,18476.84,176594.96,0.0,12309576.12,12309576.12
assistant forensic toxicologist i,496690.82,0.0,2488.84,0.0,499179.66,499179.66
assistant general services manager,306085.96,0.0,3788.22,0.0,309874.18,309874.18
assistant health educator,2020743.57,10321.08,15917.01,631435.36,2046981.66,2678417.02
assistant industrial hygienist,335711.05,0.0,0.0,98887.32,335711.05,434598.37
assistant inspector,263637.98,64245.02,49794.36,77330.63,377677.36,455007.99
assistant inspector (police department),123169.95,45679.84,20149.41,0.0,188999.2,188999.2
assistant inspector 2,672555.94,86594.82,55841.17,190931.69,814991.93,1005923.62
assistant inspector 3,2328199.19,316192.54,229969.16,670917.91,2874360.89,3545278.8
assistant inspector ii (police department),1278661.02,135476.29,94751.3,0.0,1508888.61,1508888.61
assistant inspector iii (police department),1174319.59,120365.03,79356.32,0.0,1374040.94,1374040.94
assistant law librarian,431240.35,0.0,29308.72,152599.98,460549.07,613149.05
assistant materials coordinator,705272.85,16365.12,5481.69,0.0,727119.66,727119.66
assistant medical examiner,999822.84,1257.37,62885.65,0.0,1063965.86,1063965.86
assistant power house operator,185080.4,1388.25,15769.6,44946.23,202238.25,247184.48
assistant purchaser,4911990.32,46545.94,96636.08,1612541.88,5055172.34,6667714.22
assistant recreation director,27087.85,0.0,89451.05,128175.51,116538.9,244714.41
assistant recreation supervisor,0.0,0.0,2474.41,0.0,2474.41,2474.41
"assistant rental manager, port",567110.53,0.0,0.0,0.0,567110.53,567110.53
assistant retirement analyst,6301803.69,1377.5,66340.3,1885097.47,6369521.49,8254618.96
assistant sheriff,717066.0,16775.56,41348.37,181664.45,775189.93,956854.38
assistant storekeeper,3165567.53,617739.89,167245.39,1249090.27,3950552.81,5199643.08
assistant superintendent recreation,100515.4,0.0,0.0,0.0,100515.4,100515.4
"assistant to the director, public affairs       rs",91398.95,0.0,3884.4,0.0,95283.35,95283.35
assoc engineer,54030597.1,19455.91,621822.83,18639202.72,54671875.84,73311078.56
"assoc musm cnsrvt, aam",244682.39,0.0,3964.8,97161.89,248647.19,345809.08
associate affirmative action coordinator,706169.56,0.0,35008.04,0.0,741177.6,741177.6
associate auditor,1299996.38,0.0,6672.53,0.0,1306668.91,1306668.91
associate engineer,14432823.33,2966.06,254243.78,0.0,14690033.17,14690033.17
associate human resources analyst,76525.6,0.0,5115.57,0.0,81641.17,81641.17
"associate museum conservator, asian art museum",72844.4,0.0,0.0,0.0,72844.4,72844.4
associate museum registrar,513280.77,5491.41,7564.07,207011.68,526336.25,733347.93
associate performance auditor,618275.78,0.0,0.0,0.0,618275.78,618275.78
asst chf dist atty's invstgtor,1545286.18,0.0,173057.52,492893.51,1718343.7,2211237.21
asst chf of dept (fire dept),3748493.9,828436.0,494812.81,1095013.2,5071742.71,6166755.91
"asst chf prob ofc, juv prob",167361.04,0.0,3486.0,60690.95,170847.04,231537.99
asst chf victim/wit invstgtor,1627567.91,657.01,10627.06,610499.79,1638851.98,2249351.77
"asst chf, bur clm invest&admin",284812.49,0.0,4486.0,106367.1,289298.49,395665.59
"asst clk, board of supervisors",1253900.97,19378.6,31765.25,476486.5,1305044.82,1781531.32
asst dir clinical svcs 2,135171.64,0.0,6286.0,51490.33,141457.64,192947.97
asst dir of clinical svcs 1,340249.69,0.0,6086.0,139270.92,346335.69,485606.61
"asst dir, log cabin rnch",268823.55,0.0,7997.35,116267.0,276820.9,393087.9
"asst director, juvenile hall",166289.97,16113.49,296.99,41321.92,182700.45,224022.37
asst electronic main tech,905580.88,85861.28,27478.25,331711.7,1018920.41,1350632.11
asst engr,39277874.98,44123.8,464820.32,14794759.41,39786819.1,54581578.51
asst forensic toxicologist 1,1516552.27,0.0,82947.06,497799.74,1599499.33,2097299.07
asst general services manager,964489.43,6619.12,49378.01,528405.09,1020486.56,1548891.65
asst materials coordinator,2694216.8,123551.79,11683.54,942035.46,2829452.13,3771487.59
asst med examiner,2401076.95,60953.5,311856.72,645313.08,2773887.17,3419200.25
asst superintendent rec,331560.66,0.0,776.39,114016.85,332337.05,446353.9
asst. chief probation officer-juvenile probation,160928.86,0.0,5892.29,0.0,166821.15,166821.15
"asst. chief, bureau of claims invest. & admin",135166.98,0.0,0.0,0.0,135166.98,135166.98
"asst.dep.dir., port",835192.59,0.0,6972.0,309631.64,842164.59,1151796.23
attorney (civil/criminal),200062150.49,2379.38,3557429.0,46856855.09,203621958.87,250478813.96
attorney for the public administrator,170844.78,0.0,0.0,0.0,170844.78,170844.78
"attorney, tax collector",645656.73,0.0,6823.67,147609.13,652480.4,800089.53
audiologist,323703.86,0.0,5485.6,83251.29,329189.46,412440.75
audiometrist,83345.24,0.0,1798.56,26497.37,85143.8,111641.17
auditor i,727815.66,25.52,3122.54,325150.43,730963.72,1056114.15
auditor ii,2849553.43,0.0,77030.89,1069738.01,2926584.32,3996322.33
auditor iii,2680109.55,0.0,21410.7,936744.84,2701520.25,3638265.09
auto body & fender wrk sprv 1,307729.89,103621.57,21456.12,116281.61,432807.58,549089.19
auto body&fender wrk asst sprv,87255.02,7838.63,600.0,33106.22,95693.65,128799.87
auto machinist asst sprv,1951440.72,187225.1,127431.34,761587.11,2266097.16,3027684.27
auto svc wrk asst sprv,673263.9,87324.79,79630.86,311042.85,840219.55,1151262.4
automotive body & fender wrk,7566919.95,1482794.98,534895.61,3171394.6,9584610.54,12756005.14
automotive body and fender worker,2705696.58,465720.54,130121.13,0.0,3301538.25,3301538.25
automotive body and fender worker supervisor i,96201.62,22984.94,3300.33,0.0,122486.89,122486.89
automotive machinist,18634208.73,1860413.21,931541.07,5857128.47,21426163.01,27283291.48
automotive machinist assistant supervisor,685442.19,149332.91,43310.14,0.0,878085.24,878085.24
automotive machinist sprv 1,2709829.48,176199.99,73130.31,986938.54,2959159.78,3946098.32
automotive machinist supervisor i,673869.53,60375.19,6330.95,0.0,740575.67,740575.67
automotive mechanic,39207981.84,6962774.43,4038060.94,12853057.11,50208817.21,63061874.32
automotive mechanic assistant supervisor,927676.42,155576.61,133163.74,0.0,1216416.77,1216416.77
automotive mechanic asst sprv,3160128.6,570050.87,315458.68,1242922.35,4045638.15,5288560.5
automotive mechanic sprv 1,2049289.07,415850.95,173966.23,766910.74,2639106.25,3406016.99
automotive mechanic supervisor i,558409.27,138256.09,60358.48,0.0,757023.84,757023.84
automotive service worker,24376533.53,4158289.84,3333099.99,8706595.84,31867923.36,40574519.2
automotive service worker assistant supervisor,262175.81,52091.0,34258.71,0.0,348525.52,348525.52
automotive transit shop supervisor i,539885.75,93820.24,15604.37,0.0,649310.36,649310.36
automotive trnst shop sprv 1,2058126.95,502774.7,84191.98,712177.79,2645093.63,3357271.42
bacteriological laboratory assistant,405496.95,0.0,2042.92,0.0,407539.87,407539.87
baker,194214.72,9495.72,15212.9,59099.21,218923.34,278022.55
barber,26453.75,0.0,1318.37,607.14,27772.12,28379.26
"battalion chief, (fire department)",6519379.89,1580186.58,1649932.69,0.0,9749499.16,9749499.16
"battalion chief, fire suppress",11282294.85,3214448.34,1918808.12,3536494.62,16415551.31,19952045.93
"battlion chief, fire suppressi",5477416.41,1510116.51,1091357.56,1592994.26,8078890.48,9671884.74
bd/comm secretary 3,311928.52,0.0,0.0,111146.0,311928.52,423074.52
"bdcomm mbr, grp2,m=$25/mtg",32707.0,0.0,0.0,26198.92,32707.0,58905.92
"bdcomm mbr, grp3,m=$50/mtg",81977.0,0.0,0.0,30903.3,81977.0,112880.3
"bdcomm mbr, grp5,m$100/mo",201920.84,0.0,0.0,9700.52,201920.84,211621.36
beautician,372220.07,467.13,6552.52,125982.78,379239.72,505222.5
benefits analyst,3318719.74,33008.45,21729.14,1014856.18,3373457.33,4388313.51
benefits supervisor,1718806.98,0.0,21574.23,459097.86,1740381.21,2199479.07
benefits technician,4767516.83,8248.49,38466.18,1668371.03,4814231.5,6482602.53
biologist,1674339.22,0.0,54097.78,607307.17,1728437.0,2335744.17
biologist i/ii,5497094.19,0.0,126076.82,1374465.67,5623171.01,6997636.68
biologist iii,2094858.84,0.0,35789.14,597485.46,2130647.98,2728133.44
bldg & grounds maint sprv,2275299.67,321030.3,211341.3,857360.99,2807671.27,3665032.26
bldg & grounds patrol officer,6330823.46,171603.28,260612.23,2738268.45,6763038.97,9501307.42
bldgs & grounds maint supt,5562747.34,327858.84,756531.77,1957765.87,6647137.95,8604903.82
"board commission member, $200 per meeting",67000.0,0.0,0.0,0.0,67000.0,67000.0
"board scty, mta",505357.77,0.0,12985.92,177261.08,518343.69,695604.77
board secretary - municipal transportation agenc,154690.6,0.0,0.0,0.0,154690.6,154690.6
"board/commission member, group ii",12750.0,0.0,0.0,0.0,12750.0,12750.0
"board/commission member, group iii",21080.0,0.0,0.0,0.0,21080.0,21080.0
"board/commission member, group v",66279.45,0.0,691.2,0.0,66970.65,66970.65
board/commission secretary iii,94919.25,0.0,0.0,0.0,94919.25,94919.25
book repairer,642340.87,0.0,2673.6,230368.54,645014.47,875383.01
braillist,132057.86,0.0,7473.06,37381.18,139530.92,176912.1
"brd comm mbr, m=$200/mtg",184150.0,0.0,0.0,6785.99,184150.0,190935.99
bricklayer,1517226.56,88876.66,60101.7,422883.18,1666204.92,2089088.1
building and grounds patrol officer,2025270.22,45845.44,84263.51,0.0,2155379.17,2155379.17
building inspector,21098941.49,332608.85,753976.85,5791026.55,22185527.19,27976553.74
building plans engineer,1041720.22,0.0,51928.72,186771.1,1093648.94,1280420.04
building services technician,407088.06,0.0,12853.57,130467.48,419941.63,550409.11
buildings and grounds maintenance superintendent,1373011.5,71534.79,172634.27,0.0,1617180.56,1617180.56
buildings and grounds maintenance supervisor,525029.49,115462.62,72012.31,0.0,712504.42,712504.42
cable splicer,6276042.77,357648.01,96379.22,1472459.59,6730070.0,8202529.59
camp assistant,836447.67,11240.4,16221.34,24085.84,863909.41,887995.25
"capt,fire prev or fire invsgtn",2274202.51,347063.07,292118.51,666263.45,2913384.09,3579647.54
captain 3,18243573.85,251542.76,3271664.81,4807984.92,21766781.42,26574766.34
captain iii (police department),6296786.12,587353.74,951864.19,0.0,7836004.05,7836004.05
"captain, (fire department)",,0.0,35332.78,0.0,35332.78,35332.78
"captain, bureau of fire prevention and public safe",187237.53,743.34,18723.76,0.0,206704.63,206704.63
"captain, emergency med svcs",11161288.99,2244020.41,1230324.43,3491906.8,14635633.83,18127540.63
"captain, emergencycy medical services",3164043.15,583590.58,428629.23,0.0,4176262.96,4176262.96
"captain, fire suppression",40266258.91,8541041.16,6719222.88,9995068.56,55526522.95,65521591.51
car and auto painter,4791723.4,1103649.72,642504.31,1524346.49,6537877.43,8062223.92
carpenter,21240893.42,805408.93,505229.89,6192407.27,22551532.24,28743939.51
carpenter supervisor 1,2782115.54,165986.88,20658.45,1000274.75,2968760.87,3969035.62
carpenter supervisor 2,407685.94,59040.87,99.89,150601.67,466826.7,617428.37
carpenter supervisor i,964410.11,77327.39,31999.39,0.0,1073736.89,1073736.89
carpenter supervisor ii,87177.34,159.22,0.0,0.0,87336.56,87336.56
cashier 1,1468639.13,92147.71,20879.96,580746.01,1581666.8,2162412.81
cashier 2,3294874.74,53664.1,47890.23,1507964.67,3396429.07,4904393.74
cashier 3,0.0,0.0,2074.6,0.0,2074.6,2074.6
cashier i,461526.85,15591.47,4978.87,0.0,482097.19,482097.19
cashier ii,962179.47,18401.44,13716.92,0.0,994297.83,994297.83
cashier iii,57901.65,967.57,0.0,0.0,58869.22,58869.22
cement finisher supervisor 1,1056126.11,63934.55,7191.65,329104.12,1127252.31,1456356.43
cement finisher supervisor 2,173570.84,47595.4,280.0,64011.36,221446.24,285457.6
cement finisher supervisor i,265605.02,27802.56,1325.7,0.0,294733.28,294733.28
cement finisher supervisor ii,93895.6,33041.35,0.0,0.0,126936.95,126936.95
cement mason,8668930.26,543485.61,108176.83,2636247.17,9320592.7,11956839.87
central processing & dist tech,4925090.2,402356.67,255108.38,2087059.65,5582555.25,7669614.9
central processing and distribution technician,1566199.21,162678.47,61527.51,0.0,1790405.19,1790405.19
"cfdntal chf atty 2,(cvl&crmnl)",1902332.38,0.0,33435.41,584670.6,1935767.79,2520438.39
cfdntal sctry to city atty,179837.46,0.0,7116.63,68435.03,186954.09,255389.12
cfdntal sctry to distric atty,86658.02,0.0,0.0,36714.43,86658.02,123372.45
chef,1154724.36,98846.32,23942.27,361799.0,1277512.95,1639311.95
chemist,1694670.95,0.0,18328.93,623966.85,1712999.88,2336966.73
chemist i/ii,5102625.76,355.84,26919.76,1350342.89,5129901.36,6480244.25
chemist iii,2428355.72,0.0,3839.14,649741.75,2432194.86,3081936.61
chf district atty investigator,442287.67,0.0,64589.65,155740.63,506877.32,662617.95
chf payroll & personnel clerk,826820.61,94932.7,10389.77,339477.73,932143.08,1271620.81
"chf prob ofc, juv court",727287.21,0.0,39166.43,197793.56,766453.64,964247.2
"chf stationary eng, sew plant",5198556.77,350108.08,449604.26,1891995.63,5998269.11,7890264.74
"chf statnry eng,wtrtreat plnt",1732622.41,162685.43,290531.47,606444.72,2185839.31,2792284.03
chf victim/witness invstgtor,339700.01,0.0,5002.0,126367.96,344702.01,471069.97
chief adult probation officer,799307.76,0.0,5185.04,191254.4,804492.8,995747.2
chief attorney i (civil & criminal),770571.11,0.0,35784.0,0.0,806355.11,806355.11
chief atty1 (civil & criminal),2486730.37,0.0,365453.08,721612.57,2852183.45,3573796.02
chief building inspector,1864082.33,5532.13,118992.93,496419.55,1988607.39,2485026.94
chief clerk,4181963.03,114.9,63022.46,1243682.21,4245100.39,5488782.6
chief dep adlt prob of (sfers),445389.76,0.0,1500.0,154960.74,446889.76,601850.5
chief deputy adlt probation of,213525.76,0.0,0.0,11775.81,213525.76,225301.57
chief deputy adult probation officer,112662.75,0.0,0.0,0.0,112662.75,112662.75
chief deputy sheriff,1979966.35,53285.28,177708.05,474050.04,2210959.68,2685009.72
chief dietitian,590603.14,0.0,19008.87,164936.24,609612.01,774548.25
chief district attorney's investigator,148448.51,0.0,8907.44,0.0,157355.95,157355.95
chief electrical inspector,514889.72,0.0,7540.64,128170.51,522430.36,650600.87
chief fire alarm dispatcher,347538.25,110547.76,7358.97,104691.02,465444.98,570136.0
chief forensic toxicologist,202821.03,0.0,16086.18,57184.33,218907.21,276091.54
chief housing inspector,475113.86,0.0,0.0,115942.26,475113.86,591056.12
chief investment officer,257340.0,0.0,82313.7,96570.66,339653.7,436224.36
chief microbiologist,109641.76,0.0,4500.0,0.0,114141.76,114141.76
chief nursery specialist,272557.6,17274.77,1218.18,75526.22,291050.55,366576.77
"chief of department, (fire department)",285262.0,0.0,17115.73,0.0,302377.73,302377.73
chief of police,1185773.46,0.0,69770.07,247645.86,1255543.53,1503189.39
chief payroll and personnel clerk,214765.45,5071.56,3704.25,0.0,223541.26,223541.26
chief plumbing inspector,514148.35,0.0,25710.22,130998.03,539858.57,670856.6
chief preparator,269990.75,0.0,5431.7,99174.53,275422.45,374596.98
"chief probation officer, juvenile court",191319.45,0.0,0.0,0.0,191319.45,191319.45
chief stationary engineer,5210084.75,707302.2,565095.85,1499749.0,6482482.8,7982231.8
"chief stationary engineer, sewage plant",2048505.67,95134.1,210984.21,0.0,2354623.98,2354623.98
"chief stationary engineer, water treatment plant",509055.1,49490.69,93725.76,0.0,652271.55,652271.55
chief surveyor,2474931.26,19536.7,8645.35,629662.81,2503113.31,3132776.12
chief telephone operator,238818.3,0.0,2403.9,85042.27,241222.2,326264.47
chief victim/witness investigator,100548.34,0.0,1040.0,0.0,101588.34,101588.34
chief water service inspector,1460419.79,44122.94,126367.35,378669.33,1630910.08,2009579.41
"chief, fire department",912697.02,0.0,65218.03,248680.93,977915.05,1226595.98
child care specialist,852411.2,0.0,14985.53,356167.72,867396.73,1223564.45
child support officer i,192235.96,0.0,2706.27,72481.95,194942.23,267424.18
child support officer ii,14945994.81,27.2,195742.57,4648005.98,15141764.58,19789770.56
child support officer iii,3701204.1,0.0,98227.97,977367.39,3799432.07,4776799.46
citizens complaint officer,2763155.26,0.0,21824.42,860685.47,2784979.68,3645665.15
city attorney,890635.0,0.0,0.0,205359.37,890635.0,1095994.37
city planning graphics supervisor,64563.95,0.0,1135.0,0.0,65698.95,65698.95
city planning intern,283149.03,0.0,0.0,6160.83,283149.03,289309.86
city shops assistant superintendent,210724.7,0.0,1000.0,0.0,211724.7,211724.7
city shops asst superintendent,225387.51,182.01,1150.0,73810.59,226719.52,300530.11
civil case settlmnt specialist,133112.5,0.0,6360.92,40760.49,139473.42,180233.91
civil engineering assistant,965523.07,790.13,24330.49,0.0,990643.69,990643.69
civil engineering associate i,2563020.83,13793.22,23737.09,0.0,2600551.14,2600551.14
claims adjuster,2103616.71,20768.49,12965.3,588295.91,2137350.5,2725646.41
claims investigator,2221462.61,329752.83,203075.53,575100.57,2754290.97,3329391.54
claims investigator city attorneys office,2546901.24,337.22,8835.66,0.0,2556074.12,2556074.12
"claims investigator, ca",7797510.51,4322.48,42527.96,2811636.22,7844360.95,10655997.17
claims process clerk,277867.3,0.0,2381.35,81812.5,280248.65,362061.15
clerk,31952894.16,1388073.56,607849.28,12829315.27,33948817.0,46778132.27
clerk typist,21421363.89,254919.99,502937.2,7558948.42,22179221.08,29738169.5
clinical nurse specialist,13731237.04,23849.87,228190.99,3329223.86,13983277.9,17312501.76
clinical pharmacist,21113052.98,355088.43,517358.22,5266630.87,21985499.63,27252130.5
clinical psychologist,12519782.31,38432.29,202749.44,3266432.5,12760964.04,16027396.54
collection supervisor,372264.67,0.0,336.0,154283.95,372600.67,526884.62
collections officer,548019.46,6018.84,0.0,207368.38,554038.3,761406.68
comm pol svcs aide supervisor,1756223.15,117089.1,88710.59,743350.55,1962022.84,2705373.39
commander 3,3603864.99,2644.11,577511.05,932407.41,4184020.15,5116427.56
"commander iii, (police department)",1169299.27,110578.74,156077.54,0.0,1435955.55,1435955.55
commercial div asst sprv,3937759.83,3118.5,63866.64,1909479.54,4004744.97,5914224.51
commercial division assistant supervisor,1175576.7,0.0,1319.44,0.0,1176896.14,1176896.14
commissioner,104497.94,0.0,0.0,0.0,104497.94,104497.94
"commissioner 16.700c, no pay",1288.0,0.0,0.0,390084.78,1288.0,391372.78
commissioner no benefits,314638.77,0.0,0.0,13561.67,314638.77,328200.44
communication line sprv1,988013.46,348435.08,118144.67,361478.71,1454593.21,1816071.92
communication line supervisor i,186020.08,55616.2,14095.35,0.0,255731.63,255731.63
communications director,355321.89,0.0,6634.18,96830.42,361956.07,458786.49
communications dispatcher 1,3485854.12,314052.55,118090.9,1619254.68,3917997.57,5537252.25
